"filename", "language", "JavaScript JSX", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 10, 0, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 19309, 0, 0, 0, 0, 1, 19310
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/package.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/assets/fonts/demo.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 8, 367
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/assets/fonts/stylesheet.css", "CSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 8, 64
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/assets/images/chatboticon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/assets/images/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/assets/images/round-chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/App.js", "JavaScript", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 31, 6, 327
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/auth.initialstate.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 23
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/auth.selector.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 26
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/auth.slice.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14, 89
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/auth.thunk.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/interfaces/forgot-password.interface.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/interfaces/login.interface.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/app/features/auth/interfaces/onboard.interface.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
